validation_rank,feature_config,model,imbalance_treatment,validation_threshold,validation_precision,validation_recall,validation_specificity,validation_f2,validation_pr_auc,voting_weights,selected_winner
24,lifestyle_only,catboost,class_weight,0.7680937912195488,0.06609808102345416,0.19745222929936307,0.970224337185588,0.14129443938012765,0.046034553676377564,,False
25,extended_low_cost,catboost,smotenc_0.25,0.107041961322666,0.04157218442932729,0.3503184713375796,0.9138001359619307,0.14095335725269093,0.056701359520030546,,False
26,lifestyle_only,soft_voting,class_weight,0.69231206817204,0.058519793459552494,0.21656050955414013,0.9628144119646499,0.14061207609594706,0.044668926284317165,"(2, 1, 2)",False
27,lifestyle_only,soft_voting,smotenc_0.10,0.2130440281408424,0.056179775280898875,0.2229299363057325,0.9600271923861319,0.1398880895283773,0.042625804845373365,"(2, 1, 1)",False
28,lifestyle_only,logistic_regression,smotenc_0.10,0.3920159158116651,0.10084033613445378,0.15286624203821655,0.9854520734194425,0.13856812933025403,0.04633784875771587,,False
29,lifestyle_only,logistic_regression,smotenc_0.25,0.5837565446483161,0.08360128617363344,0.16560509554140126,0.9806254248810333,0.13844515441959532,0.04481926791184261,,False
30,lifestyle_only,soft_voting,smotenc_0.25,0.3490704637060234,0.05325443786982249,0.22929936305732485,0.9564921821889871,0.13803680981595093,0.04020247297770247,"(2, 1, 1)",False
31,lifestyle_only,random_forest,smotenc_0.10,0.1620280196378414,0.044193216855087356,0.27388535031847133,0.9367777022433719,0.13429106808244848,0.03277394109129782,,False
32,extended_low_cost,extra_trees,smotenc_0.10,0.1787639246854284,0.04847645429362881,0.2229299363057325,0.9532970768184909,0.12962962962962965,0.03987913234655609,,False
33,extended_low_cost,random_forest,class_weight,0.4107938435575394,0.05081967213114754,0.19745222929936307,0.9606390210740993,0.12520193861066237,0.054175105123289546,,False
34,lifestyle_only,random_forest,smotenc_0.25,0.2767133455646496,0.03951081843838194,0.267515923566879,0.9305914343983684,0.12418687167356596,0.029818376060711152,,False
35,lifestyle_only,extra_trees,smotenc_0.10,0.125738006383355,0.031642116748499725,0.36942675159235666,0.8793337865397689,0.1178382771231207,0.02707676688327184,,False
36,extended_low_cost,extra_trees,smotenc_0.25,0.3420605347281215,0.046468401486988845,0.1592356687898089,0.96512576478586,0.10720411663807888,0.02748113213315536,,False
37,lifestyle_only,random_forest,class_weight,0.4004769792306744,0.038926174496644296,0.18471337579617833,0.9513256288239293,0.1056081573197378,0.02628294901703,,False
38,extended_low_cost,extra_trees,class_weight,0.4580423344753069,0.03810775295663601,0.18471337579617833,0.950237933378654,0.10439164866810655,0.02682343680765142,,False
39,lifestyle_only,extra_trees,smotenc_0.25,0.2151790766887344,0.025884383088869714,0.3821656050955414,0.8464989802855201,0.10183299389002036,0.022442956691233994,,False
40,lifestyle_only,extra_trees,class_weight,0.4510557936379886,0.027538726333907058,0.20382165605095542,0.9231815091774304,0.08938547486033521,0.019372487843376453,,False
