feature_config,model,imbalance_treatment,threshold_name,threshold,accuracy,balanced_accuracy,precision,recall,specificity,positive_class_f1,macro_f1,weighted_f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp,recall_ci_low,recall_ci_high,positive_class_f1_ci_low,positive_class_f1_ci_high,pr_auc_ci_low,pr_auc_ci_high
lifestyle_only,extra_trees,none,0.50,0.5,0.9893731503900997,0.5,0.0,0.0,1.0,0.0,0.4973290959496923,0.9840881088808144,0.7381104303453261,0.03976815114576,0.010417801781639,14710,0,158,0,0.0,0.0,0.0,0.0,0.0286408474764624,0.0616700120546473
lifestyle_only,extra_trees,none,validation_f2,0.0281373822799054,0.9235942964756524,0.635807897839238,0.0497237569060773,0.3417721518987341,0.9298436437797416,0.0868167202572347,0.5234729396597138,0.9508485991125571,0.7381104303453261,0.03976815114576,0.010417801781639,13678,1032,104,54,0.2682732639428305,0.4109686194501117,0.0654770238387271,0.1098928571428571,0.0286408474764624,0.0616700120546473
lifestyle_only,logistic_regression,class_weight,0.50,0.5,0.751412429378531,0.6990594532265143,0.0272581507215392,0.6455696202531646,0.752549286199864,0.0523076923076923,0.4546257458287184,0.8483930524495129,0.7718980457623764,0.0449393948242361,0.1900510541621188,11070,3640,56,102,0.5723045822102426,0.7202851496329757,0.0426185022544043,0.0618253963825582,0.0329854503278795,0.0656592970274401
lifestyle_only,logistic_regression,class_weight,validation_f2,0.8133430962627947,0.9585687382297552,0.6127855845932759,0.0759259259259259,0.2594936708860759,0.9660774983004758,0.1174785100286533,0.5481324639130112,0.9696334281936928,0.7718980457623764,0.0449393948242361,0.1900510541621188,14211,499,117,41,0.1908384391321816,0.328573926073926,0.0838092054179967,0.1485939379466496,0.0329854503278795,0.0656592970274401
lifestyle_only,random_forest,none,0.50,0.5,0.9893731503900997,0.5,0.0,0.0,1.0,0.0,0.4973290959496923,0.9840881088808144,0.7440351005515924,0.0468179122388945,0.0103397581828094,14710,0,158,0,0.0,0.0,0.0,0.0,0.0332379250164596,0.0723336946394582
lifestyle_only,random_forest,none,validation_f2,0.0271561360238944,0.9180790960451978,0.6424123776988013,0.0485519591141396,0.360759493670886,0.9240652617267164,0.0855855855855855,0.5213521506297172,0.947857064170355,0.7440351005515924,0.0468179122388945,0.0103397581828094,13593,1117,101,57,0.2890955430112056,0.4353492647058823,0.0657964601505216,0.1070427359852215,0.0332379250164596,0.0723336946394582
lifestyle_only,soft_voting,none,0.50,0.5,0.9893731503900997,0.5,0.0,0.0,1.0,0.0,0.4973290959496923,0.9840881088808144,0.7670430001118673,0.0477006613506381,0.0103384044228828,14710,0,158,0,0.0,0.0,0.0,0.0,0.0348121754159976,0.0705482261180269
lifestyle_only,soft_voting,none,validation_f2,0.0213671595148289,0.89924670433145,0.6735924067843282,0.0472972972972973,0.4430379746835443,0.9041468388851122,0.0854700854700854,0.5160783411904488,0.9375345785621684,0.7670430001118673,0.0477006613506381,0.0103384044228828,13300,1410,88,70,0.3630669368974583,0.5195143398268397,0.066915970933828,0.1047056449373702,0.0348121754159976,0.0705482261180269
lifestyle_only,dummy,none,0.50,0.5,0.9893731503900997,0.5,0.0,0.0,1.0,0.0,0.4973290959496923,0.9840881088808144,0.5,0.0106268496099004,0.0105139211834712,14710,0,158,0,0.0,0.0,0.0,0.0,0.0090126446058649,0.0122410546139359
extended_low_cost,dummy,none,0.50,0.5,0.9893731503900997,0.5,0.0,0.0,1.0,0.0,0.4973290959496923,0.9840881088808144,0.5,0.0106268496099004,0.0105139211834712,14710,0,158,0,0.0,0.0,0.0,0.0,0.0090126446058649,0.0122410546139359
